,relation_type,relation_subtype,model,q_num,answer,correct,unanswered,score,has_line,has_point,has_region,has_indigenous,population,example_dist,predicted_dist,ratio,bias_term,country_found,state_found,entity_type,n_way
39,TOPOLOGICAL,Touch,gemini-1.5-pro,40,yes,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
40,TOPOLOGICAL,Partially Overlap,gemini-1.5-pro,41,icatq,abstain,1,0.0,0,0,1,0,,,,,,0,0,region-region,
41,TOPOLOGICAL,Partially Overlap,gemini-1.5-pro,42,yes,incorrect,0,0.0,0,0,1,0,,,,,,0,0,region-region,
42,TOPOLOGICAL,Partially Overlap,gemini-1.5-pro,43,yes,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
43,TOPOLOGICAL,Partially Overlap,gemini-1.5-pro,44,yes,incorrect,0,0.0,0,0,1,0,,,,,,0,0,region-region,
44,TOPOLOGICAL,Partially Overlap,gemini-1.5-pro,45,yes,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
45,TOPOLOGICAL,Within,gemini-1.5-pro,46,yes,correct,0,1.0,0,0,1,0,8339300.0,,,,,0,0,region-region,
46,TOPOLOGICAL,Within,gemini-1.5-pro,47,no,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
47,TOPOLOGICAL,Within,gemini-1.5-pro,48,yes,incorrect,0,0.0,0,0,1,0,97793.0,,,,,0,0,region-region,
48,TOPOLOGICAL,Within,gemini-1.5-pro,49,yes,correct,0,1.0,0,0,1,0,53677.0,,,,,0,0,region-region,
49,TOPOLOGICAL,Within,gemini-1.5-pro,50,no,correct,0,1.0,0,0,1,0,466466.0,,,,,0,0,region-region,
50,TOPOLOGICAL,Within,gemini-1.5-pro,51,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
51,TOPOLOGICAL,Within,gemini-1.5-pro,52,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
52,TOPOLOGICAL,Within,gemini-1.5-pro,53,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
53,TOPOLOGICAL,Within,gemini-1.5-pro,54,yes,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
54,TOPOLOGICAL,Within,gemini-1.5-pro,55,no,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
55,TOPOLOGICAL,Contain,gemini-1.5-pro,56,yes,correct,0,1.0,0,0,1,0,8339300.0,,,,,0,0,region-region,
56,TOPOLOGICAL,Contain,gemini-1.5-pro,57,no,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
57,TOPOLOGICAL,Contain,gemini-1.5-pro,58,yes,incorrect,0,0.0,0,0,1,0,97793.0,,,,,0,0,region-region,
58,TOPOLOGICAL,Within,gemini-1.5-pro,59,yes,correct,0,1.0,0,0,1,0,53677.0,,,,,0,0,region-region,
59,TOPOLOGICAL,Contain,gemini-1.5-pro,60,no,correct,0,1.0,0,0,1,0,466466.0,,,,,0,0,region-region,
60,TOPOLOGICAL,Contain,gemini-1.5-pro,61,no,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
61,TOPOLOGICAL,Contain,gemini-1.5-pro,62,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
62,TOPOLOGICAL,Contain,gemini-1.5-pro,63,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
63,TOPOLOGICAL,Contain,gemini-1.5-pro,64,yes,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
64,TOPOLOGICAL,Contain,gemini-1.5-pro,65,no,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
65,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,1,geelong,correct,0,3.0,0,1,0,0,,118.06428185190447,64.75311164338905,0.013327792552128855,near,0,0,,
66,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,2,noosa,correct,0,3.0,0,1,0,0,,70.57607864181082,40.60815974023518,0.007491979725393911,near,0,0,,
67,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,3,fremantle,correct,0,2.0,0,1,0,0,,249.9001999413146,14.48289632479604,0.05885432590412964,near,0,0,,
68,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,4,ipswich,correct,0,3.0,0,1,0,0,,131.74385994648975,16414.834746700995,-4.070772721688627,near,0,0,,
69,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,5,icatq,incorrect,1,0.0,0,1,0,0,,,,,near,0,0,,
70,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,6,icatq,incorrect,1,0.0,0,1,0,0,,,,,near,0,0,,
71,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,7,icatq,incorrect,1,0.0,0,1,0,0,,,,,near,0,0,,
72,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,8,icatq,incorrect,1,0.0,0,1,0,0,,,,,near,0,0,,
73,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,9,sarina,correct,0,3.0,0,1,0,0,,1386.0204808367068,15670.332178668208,-3.571077924457875,near,0,0,,
74,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,10,ballarat,correct,0,2.0,0,1,0,0,,307.41487741345634,78.58560469055654,0.057207318180724956,near,0,0,,
75,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,11,warrnambool,correct,0,3.0,0,1,0,0,,118.06428185190447,226.63601994226073,-0.027142934522589066,far,0,0,,
76,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,12,bundaberg,correct,0,3.0,0,1,0,0,,70.57607864181082,211.70941095494652,-0.03528333307828392,far,0,0,,
77,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,13,esperance,correct,0,3.0,0,1,0,0,,249.9001999413146,602.3723846854144,-0.08811804618602495,far,0,0,,
78,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,14,cairns,correct,0,3.0,0,1,0,0,,131.74385994648975,1386.0204808367068,-0.3135691552225543,far,0,0,,
79,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,15,icatq,incorrect,1,0.0,0,1,0,0,,,,,far,0,0,,
80,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,16,cairns,incorrect,0,0.0,0,1,0,0,,3727.566345132308,1386.0204808367068,0.5853864660739003,far,0,0,,
81,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,17,esperance,correct,0,1.0,0,1,0,0,,1167.448357694144,602.3723846854144,0.14126899325218242,far,0,0,,
82,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,18,coober pedy,incorrect,0,0.0,0,1,0,0,,2028.2249978783473,749.7214384860367,0.3196258898480776,far,0,0,,
83,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,19,rockhampton,incorrect,0,0.0,0,1,0,0,,1386.0204808367068,282.88198723746905,0.27578462339980947,far,0,0,,
84,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,20,warrnambool,correct,0,3.0,0,1,0,0,,307.41487741345634,166.41145660148536,0.03525085520299275,far,0,0,,
85,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,21,canberra,correct,0,3.0,0,1,0,0,,118.06428185190447,463.8542239464446,-0.08644748552363503,neutral,0,0,,
86,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,22,icatq,incorrect,1,0.0,0,1,0,0,,,,,neutral,0,0,,
87,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,23,"adelaide, sa",correct,0,3.0,0,1,0,0,,249.9001999413146,2135.1989836524403,-0.4713246959277814,neutral,0,0,,
88,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,24,icatq,incorrect,1,0.0,0,1,0,0,,,,,neutral,0,0,,
89,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,25,icatq,incorrect,1,0.0,0,1,0,0,,,,,neutral,0,0,,
90,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,26,icatq,incorrect,1,0.0,0,1,0,0,,,,,neutral,0,0,,
91,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,27,icatq,incorrect,1,0.0,0,1,0,0,,,,,neutral,0,0,,
92,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,28,"darwin, nt",correct,0,3.0,0,1,0,0,,2028.2249978783473,2608.923390362135,-0.1451745981209469,neutral,0,0,,
93,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,29,townsville,incorrect,0,0.0,0,1,0,0,,1386.0204808367068,323.2816133975577,0.26568471685978734,neutral,0,0,,
94,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,30,icatq,incorrect,1,0.0,0,1,0,0,,,,,neutral,0,0,,
95,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,31,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
96,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,32,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
97,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,33,melbourne,correct,0,1.0,0,1,0,1,,636.2023671623366,0.0,0.15905059179058414,near,0,0,,
98,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,34,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
99,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,35,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
100,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,36,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
101,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,37,brisbane,incorrect,0,0.0,0,1,0,1,,1098.10886029557,0.0,0.2745272150738925,near,0,0,,
102,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,38,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
103,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,39,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
104,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,40,icatq,incorrect,1,0.0,0,1,0,1,,,,,near,0,0,,
105,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,41,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
106,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,42,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
107,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,43,warrnambool,correct,0,1.0,0,1,0,1,,636.2023671623366,226.63601994226073,0.10239158680501896,far,0,0,,
108,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,44,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
109,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,45,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
110,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,46,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
111,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,47,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
112,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,48,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
113,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,49,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
114,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,50,icatq,incorrect,1,0.0,0,1,0,1,,,,,far,0,0,,
115,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,51,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
116,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,52,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
117,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,53,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
118,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,54,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
119,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,55,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
120,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,56,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
121,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,57,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
122,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,58,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
123,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,59,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
124,METRIC_NEAR-FAR,METRIC_NEAR-FAR,claude-3-haiku-20240307,60,icatq,incorrect,1,0.0,0,1,0,1,,,,,neutral,0,0,,
125,DIRECTIONAL,DIRECTIONAL,gpt-4,1,east,correct,0,1.0,0,1,0,1,,,,,,0,0,,3-way
126,DIRECTIONAL,DIRECTIONAL,gpt-4,2,east,correct,0,1.0,0,1,0,1,,,,,,0,0,,2-way
127,DIRECTIONAL,DIRECTIONAL,gpt-4,3,southwest,incorrect,0,0.0,0,1,0,1,,,,,,0,0,,2-way
128,DIRECTIONAL,DIRECTIONAL,gpt-4,4,northwest,incorrect,0,0.0,0,1,0,1,,,,,,0,0,,3-way
129,DIRECTIONAL,DIRECTIONAL,gpt-4,5,ingham is north of k'gari and west of perth.,incorrect,0,0.0,0,1,0,1,,,,,,0,0,,3-way
130,DIRECTIONAL,DIRECTIONAL,gpt-4,6,west,incorrect,0,0.0,0,1,0,1,,,,,,0,0,,2-way
131,DIRECTIONAL,DIRECTIONAL,gpt-4,7,southwest,incorrect,0,0.0,0,1,0,1,,,,,,0,0,,2-way
132,DIRECTIONAL,DIRECTIONAL,gpt-4,8,west,correct,0,1.0,0,1,0,0,,,,,,0,0,,3-way
133,DIRECTIONAL,DIRECTIONAL,gpt-4,9,west,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
134,DIRECTIONAL,DIRECTIONAL,gpt-4,10,northwest,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
135,DIRECTIONAL,DIRECTIONAL,gpt-4,11,northwest,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
136,DIRECTIONAL,DIRECTIONAL,gpt-4,12,south,correct,0,1.0,0,1,0,0,,,,,,0,0,,3-way
137,DIRECTIONAL,DIRECTIONAL,gpt-4,13,south,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
138,DIRECTIONAL,DIRECTIONAL,gpt-4,14,south,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
139,DIRECTIONAL,DIRECTIONAL,gpt-4,15,northeast,correct,0,2.0,0,1,0,0,,,,,,0,0,,3-way
140,DIRECTIONAL,DIRECTIONAL,gpt-4,16,northeast,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
141,DIRECTIONAL,DIRECTIONAL,gpt-4,17,"north
",incorrect,0,0.0,0,1,0,0,,,,,,0,0,,2-way
142,DIRECTIONAL,DIRECTIONAL,gpt-4,18,northwest,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
143,DIRECTIONAL,DIRECTIONAL,gpt-4,19,southwest,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
144,DIRECTIONAL,DIRECTIONAL,gpt-4,20,southwest,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
145,DIRECTIONAL,DIRECTIONAL,gpt-4,21,"south
",incorrect,0,0.0,0,1,0,0,,,,,,0,0,,2-way
146,DIRECTIONAL,DIRECTIONAL,gpt-4,22,southeast,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
147,DIRECTIONAL,DIRECTIONAL,gpt-4,23,northeast,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
148,DIRECTIONAL,DIRECTIONAL,gpt-4,24,northeast,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
149,DIRECTIONAL,DIRECTIONAL,gpt-4,25,east,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
150,DIRECTIONAL,DIRECTIONAL,gpt-4,26,east,correct,0,1.0,0,1,0,0,,,,,,0,0,,3-way
151,DIRECTIONAL,DIRECTIONAL,gpt-4,27,northwest,correct,0,2.0,0,1,0,0,,,,,,0,0,,3-way
152,DIRECTIONAL,DIRECTIONAL,gpt-4,28,northwest,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
153,DIRECTIONAL,DIRECTIONAL,gpt-4,29,west,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
154,DIRECTIONAL,DIRECTIONAL,gpt-4,30,northwest,correct,0,2.0,0,1,0,0,,,,,,0,0,,3-way
155,DIRECTIONAL,DIRECTIONAL,gpt-4,31,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,3-way
156,DIRECTIONAL,DIRECTIONAL,gpt-4,32,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,2-way
157,DIRECTIONAL,DIRECTIONAL,gpt-4,33,southwest,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,2-way
158,DIRECTIONAL,DIRECTIONAL,gpt-4,34,west,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
159,DIRECTIONAL,DIRECTIONAL,gpt-4,35,southwest,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
160,DIRECTIONAL,DIRECTIONAL,gpt-4,36,east,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
161,DIRECTIONAL,DIRECTIONAL,gpt-4,37,northeast,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
162,DIRECTIONAL,DIRECTIONAL,gpt-4,38,northeast,correct,0,2.0,0,1,0,0,,,,,,0,0,,3-way
163,DIRECTIONAL,DIRECTIONAL,gpt-4,39,west,correct,0,1.0,0,1,0,0,,,,,,0,0,,3-way
164,DIRECTIONAL,DIRECTIONAL,gpt-4,40,west,correct,0,1.0,0,1,0,0,,,,,,0,0,,2-way
165,DIRECTIONAL,DIRECTIONAL,gpt-4,41,northwest,correct,0,2.0,0,1,0,0,,,,,,0,0,,2-way
166,DIRECTIONAL,DIRECTIONAL,gpt-4,42,northwest,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,3-way
167,ORDER,ORDER,gemini-1.0-pro,1,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
168,ORDER,ORDER,gemini-1.0-pro,2,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
169,ORDER,ORDER,gemini-1.0-pro,3,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
170,ORDER,ORDER,gemini-1.0-pro,4,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
171,ORDER,ORDER,gemini-1.0-pro,5,clockwise,correct,0,1.0,0,1,0,0,,,,,,0,0,,
172,ORDER,ORDER,gemini-1.0-pro,6,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
173,ORDER,ORDER,gemini-1.0-pro,7,clockwise,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,
174,ORDER,ORDER,gemini-1.0-pro,8,clockwise,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,
175,ORDER,ORDER,gemini-1.0-pro,9,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
176,ORDER,ORDER,gemini-1.0-pro,10,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
177,ORDER,ORDER,gemini-1.0-pro,11,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
178,ORDER,ORDER,gemini-1.0-pro,12,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
179,ORDER,ORDER,gemini-1.0-pro,13,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
180,ORDER,ORDER,gemini-1.0-pro,14,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
181,ORDER,ORDER,gemini-1.0-pro,15,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
182,ORDER,ORDER,gemini-1.0-pro,16,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
183,ORDER,ORDER,gemini-1.0-pro,17,icatq,abstain,1,0.0,0,1,0,0,,,,,,0,0,,
184,ORDER,ORDER,claude-3-opus-20240229,1,clockwise,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,
185,ORDER,ORDER,claude-3-opus-20240229,2,clockwise,correct,0,1.0,0,1,0,0,,,,,,0,0,,
186,ORDER,ORDER,claude-3-opus-20240229,3,clockwise,correct,0,1.0,0,1,0,0,,,,,,0,0,,
187,ORDER,ORDER,claude-3-opus-20240229,4,clockwise,correct,0,1.0,0,1,0,0,,,,,,0,0,,
188,ORDER,ORDER,claude-3-opus-20240229,5,clockwise,correct,0,1.0,0,1,0,0,,,,,,0,0,,
189,ORDER,ORDER,claude-3-opus-20240229,6,clockwise,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,
190,ORDER,ORDER,claude-3-opus-20240229,7,clockwise,incorrect,0,0.0,0,1,0,0,,,,,,0,0,,
